id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.63677E+17,Precioso apartamento en Retiro,7872919,Darío,Retiro,Pacífico,40.40594114,-3.675810086,Entire home/apt,108,4,4,05/01/2024,0.4,2,118,4,NA
8.63732E+17,Lovely Apt in La Latina - Plaza Mayor,508850198,Aaron,Centro,Palacio,40.41103215,-3.711979785,Entire home/apt,78,1,48,28/02/2024,4.16,1,172,48,3U2UTY
8.62009E+17,Elegante piso en la Calle mayor,109988141,Rest In Mayor,Centro,Palacio,40.4160485,-3.7088958,Entire home/apt,124,2,41,11/03/2024,3.76,5,276,41,NA
8.62033E+17,Apartment in residential area,507190755,Juan Manuel,Latina,Puerta del Angel,40.41114,-3.73565,Entire home/apt,142,3,42,05/03/2024,3.8,1,96,42,NA
8.63743E+17,Puerta del Sol & Aire Acondicionado & 2 Balcones,12189524,Raquel,Centro,Cortes,40.41425426,-3.70341826,Entire home/apt,123,4,79,07/03/2024,6.97,6,282,79,NA
8.62099E+17,Acogedor piso reformado entero.,26713033,Adrián,Carabanchel,Buenavista,40.3675216,-3.7606407,Entire home/apt,69,32,2,12/01/2024,0.57,1,43,2,NA
8.64007E+17,Un Hogar en el Corazón de Madrid,480838831,Carlos Alejandro,Centro,Cortes,40.4139609,-3.698872514,Private room,65,2,32,11/03/2024,3.34,1,77,32,NA
8.62191E+17,El hogar del turista,402388310,Claudia,Retiro,Pacífico,40.40634264,-3.683036425,Entire home/apt,85,30,1,02/10/2023,0.17,1,78,1,NA
8.64283E+17,Habitación cerca del aeropuerto individual,5561885,Sandra,Hortaleza,Valdefuentes,40.49413742,-3.622378568,Private room,35,1,5,01/01/2024,0.43,3,105,5,NA
8.62231E+17,Magnifico Ático de lujo céntrico,507891137,Humberto,Moncloa - Aravaca,Argüelles,40.426005,-3.7150271,Entire home/apt,127,20,6,03/03/2024,0.64,1,168,6,VT-12564
8.643E+17,Santa Ana 1,508958244,Dlimex,Centro,Cortes,40.4152145,-3.701263,Entire home/apt,249,2,39,12/01/2024,3.47,1,39,39,NA
8.62247E+17,Pequeña Habitación privada en piso reformado,72023867,Iván Martín,Latina,Puerta del Angel,40.4129993,-3.725461,Private room,38,3,36,17/03/2024,3.15,1,38,36,NA
8.6436E+17,Santa Ana 2,508971797,Dlimex,Centro,Cortes,40.4152145,-3.701263,Entire home/apt,210,2,32,15/01/2024,2.85,1,165,32,NA
8.62258E+17,BAÑO privado en TU habitación.,77283187,Rogelio,Villa de Vallecas,Casco Histórico de Vallecas,40.3595475,-3.5933914,Private room,26,2,44,19/03/2024,3.8,1,40,44,NA
8.64427E+17,Bright Flat Reina Victoria,204028288,Ignacio,Tetuán,Bellas Vistas,40.4491659,-3.7074111,Entire home/apt,157,1,41,19/03/2024,3.61,8,303,41,NA
8.62295E+17,Apartamento maravilloso en centro de Madrid,508537549,Maria Jesus,Centro,Embajadores,40.4105489,-3.7081832,Entire home/apt,,2,3,25/09/2023,0.28,1,1,3,NA
8.6445E+17,Chueca 4 windows,508994880,Juan Pedro,Centro,Justicia,40.4228745,-3.6982822,Entire home/apt,131,3,20,16/03/2024,2.1,1,37,20,NA
8.62306E+17,Teatro Pavon - C.  Embajadores - 4pax Pza Cascorro,90393721,Ignacio,Centro,Embajadores,40.4096671,-3.705034496,Entire home/apt,124,3,1,17/04/2023,0.09,4,334,1,NA
8.65051E+17,Dos habitaciones en gran piso,490363823,Lu,Carabanchel,Buenavista,40.36218795,-3.747093458,Private room,85,1,6,08/10/2023,0.54,3,359,6,NA
8.62328E+17,Style & Design Flat in the Center of Madrid,44450805,Sergio,Centro,Embajadores,40.4070172,-3.7086585,Entire home/apt,127,4,8,11/06/2023,0.71,2,39,8,NA
8.65072E+17,Elegant apartment Madrid Salamanca Goya 4 guests,508826623,Andres,Salamanca,Fuente del Berro,40.42372129,-3.666531072,Entire home/apt,99,3,44,17/03/2024,3.99,1,310,44,NA
